company,position,link,location,experience,additional_info,date,views,rewiews,description
Edgica,Middle Java Developer на long-term проект розробки інноваційного продукту,https://djinni.co/jobs/209026-middle-java-developer-na-long-term-proekt-roz/,Україна,3,"Product, Тільки віддалено, 3 роки досвіду, Upper-Intermediate",15:07 03.01.2024,363,134,"Ми розробляємо і підтримуємо інноваційним продукт для клієнта з Швейцарії. Хочемо залучити до участі у проекті remote full-time Java розробника із досвідом роботи від 3-х років.<br><br>Проект - web і mobile apps, сервіси у домені Smart City / Travel / IoT, більше деталей при спілкуванні. Технології backend: java, spring, postgres, mqtt, docker. Команда: 3 devs, 2 QA, UX/UI, PM <br><br>Вимоги: 3+ роки досвіду с java, Spring Framework, PostgreSQL, docker. Досвід з Stripe, MQTT, python, devOps буде плюсом. Адекватна англійська (Intermediate+). <br><br>Якщо цікаво - висилайте свій профайл, поспілкуємось.<br><br>Не проґавте свій шанс прийняти участь у цікавому проекті, який стане окрасою вашого резюме :)<br><br>Дякую,<br>Edgica Team<br>www.edgica.com"
Join.To.IT,AI Python Developer,https://djinni.co/jobs/619093-ai-python-developer/,Україна,2,"Гібридна робота, 2 роки досвіду, Upper-Intermediate",14:50 03.01.2024,71,7,"Ми українська аутсорс компанія Join.To.IT, створюємо програмні рішення у різних сферах бізнесу понад 10 років.<br>Наша команда складається з досвідчених професіоналів, які захоплені своєю справою, поділяють спільні цінності та прагнуть до кращого результату.<br>Зараз ми у пошуку талановитого <b>AI Python Developer</b>.<br>Якщо ти дійсно любиш те, чим займаєшся, надсилай своє CV та стань частиною нашої команди.<br><br><b>Що треба мати:</b><br>• загальний досвід розробки на Python 4+ роки;<br>• мінімум 2+ роки досвіду роботи з AI;<br>• володіння англійською на рівні не нижче Upper-Intermediate;<br>• досвід роботи з OpenAI API, TensorFlow, NoSQL, SQL, Docker and Kubernetes, Cloud Platforms.<br><br><b>Основні обов'язки:</b><br>• розробка функціоналу проєкту;<br>• підтримка існуючих проєктів та покращення функціональності існуючих рішень;<br>• проведення оцінки проєктів;<br>• code review.<br><br><b>Ми пропонуємо:</b><br>• комфортний формат роботи (офіс/гібрид);<br>• гнучкий початок робочого дня з 9:00 до 10:00;<br>• конкурентну заробітну плату та її перегляд кожні 6 місяців;<br>• комфортний офіс із укриттям та Starlink поруч із м. Васильківська;<br>• покриття професійних курсів;<br>• лояльний менеджмент."
SD Solutions,Backend Developer (Python),https://djinni.co/jobs/619088-backend-developer-python-/,Україна,3,"Office або Remote, 3 роки досвіду, Upper-Intermediate",14:38 03.01.2024,87,16,"On behalf of Atlas Invest, SD Solutions is looking for a talented Back-End Developer to join our fast-paced team and contribute to the development of the future of real estate backed loans.<br><br><br><b>*Responsibilities:</b>*<br><br>Backend development: Design, develop, and deploy back-end (Python) data mining Applications<br>Database management: Design and implement efficient database solutions (e.g., PostgreSQL, MongoDB) to store and manage application data + SQL.<br>Deployment expertise: Utilize containerization technologies like Docker to ensure smooth and scalable deployments.<br>Testing and automation: Write unit and integration tests for your code, and implement automation tools to improve efficiency.<br>Problem-solving: Collaborate with team members to identify and resolve technical challenges, debug issues, and improve application performance.<br><br><b>*Requirements:</b>*<br><br>BSc / BA Computer Science.<br>At least 3 years as a backend developer (Design, Coding, Unit testing, Deployment).<br>At least 3 years of Python development.<br>Experience in development of data mining Applications<br>Strong understanding of web development principles and best practices.<br>A passion for learning and adapting to new technologies.<br>Self-motivated and able to work independently with minimal supervision.<br><br><b>*Advantages:</b>*<br><br>Experience with web scraping technologies (e.g., Beautiful Soup, Scrapy, Selenium) for data acquisition- mre than one scraping.<br>TypeScript/Node.js.<br><br><b>*About the company:</b>*<br><br>Atlas Invest is transforming the bridge loan landscape, seamlessly connecting investors with real estate developers using advanced big data analytics for a personalized investment experience."
NATS,python developer for algorithmic trading project,https://djinni.co/jobs/534968-python-developer-for-algorithmic-trading-proj/,Україна,3,"Product, Тільки віддалено, 3 роки досвіду, Intermediate",12:47 03.01.2024,129,37,"Ми українська продуктова компанія NATS, заснована у 2021 році. Займаємось алгоритмічним хедж-фондом, алготрейдингом. Алгоритмічний хедж-фонд - це інвестиційний фонд, який використовує складні математичні моделі та алгоритми, щоб приймати рішення про купівлю та продаж активів. Ми використовуємо  велику кількість даних, щоб відслідковувати тенденції на ринку та використовувати їх для прийняття рішень. Так, з нами буде цікаво :)"
Python Automation Masters,Strong Junior Python Developer (scraping),https://djinni.co/jobs/534705-strong-junior-python-developer-scraping-/,Україна,1,"Тільки віддалено, 1 рік досвіду, Intermediate",12:18 03.01.2024,309,110,"<b>Про нас:</b><br>Невелика команда, що займається написанням ефективних скриптів для web на Python 3.x. Серед рішень є такі, що обробляють близько 800 000 запитів кожні 10 годин використовуючи Python 3, mysql, Redis, із невеликою кількістью ресурсів. <br>Запрошуємо до співпраці <b>Strong Junior Python Developer</b> для розширення команди.<br><br><b>Технології, що використовуються на проектах:</b><br>- Python 3.x<br>- DB: mysql, Postgres, Redis<br>- OS: Linux (Ubuntu, CentOS)<br>- Deployment: hosts in cloud (e.g. Digital Ocean)<br><br><b>Умови праці:</b><br>- віддалена робота<br>- Part time / full time<br>- комунікація через telegram/skype/zoom<br><br><b>Задачі:</b><br>- написання скриптів на Python відповідно до вимог<br>- комунікація по статусах<br>- участь у прорахунках проектів (в подальшому - прорахунка проектів)<br><br><b>Вимоги:</b><br>- практичний досвід від 1 року роботи із Python 3.x. <br>- досвід у сфері scraping<br>- вміння зробити естімейт на задачу.<br><br><b>Буде плюсом:</b><br>- досвід роботи з GPT3<br>- DataScince/ML<br>- розмовна англійська.<br><br>У відгуку на вакансію <b>надсилайте, будь ласка, посилання на git</b> із прикладами робіт."
Intobi,Python Engineer,https://djinni.co/jobs/473617-python-engineer/,Україна,5,"Office або Remote, 5 років досвіду, Upper-Intermediate",11:34 03.01.2024,28,3,"Hey guys 👋<br>We’re Intobi - a software development company, located in Kyiv 🇺🇦<br>Our main specialization is Web & Mobile applications + UI/UX Design.<br><br>We’re looking for a success-driven Python Engineer.<br>Full-Time, Long-Term position.<br><br><b>Requirements:</b><br>— at least 4 years of commercial experience;<br>— Strong ability to code in Python (Django);<br>— Good problem-solving skills;<br>— Analytical mindset;<br>— Experience with React;<br>— English proficiency.<br><br><b>What we offer:</b><br>— Competitive salary;<br>— Paid vacation and sick leaves;<br>— Paid day off (Ukrainian holidays);<br>— Ability to work from our cozy office;<br>— 8 hours working day, 5 days a week;<br>— Career growth potential;<br>— Friendly team and corporate events.<br><br>Please send your CV here or via email.<br><br>Should the first stage be successfully completed, you’ll be invited to a personal interview."
dZENcode,Python developer / middle,https://djinni.co/jobs/613081-python-developer-middle/,Україна,3,"Тільки віддалено, 3 роки досвіду, Pre-Intermediate",18:16 02.01.2024,81,8,"<b>Необхідні навички:</b><br>- Досвід в IT компанії на Python - від 3+ року;<br>- Знання фреймворку Django;<br>- Впевнене знання Python3;<br>- Відмінне знання мови програмування Python;<br>- Досвід вирішення завдань, пов'язаних з асинхронним програмуванням.<br><br><b>Обов'язки:</b><br>- Проектування і розробка нових та існуючих проектів;<br>- Розробка API для клієнтських додатків і сервісів;<br>- Участь в оцінюванні проєктів;<br>- Відповідальність за свою роботу.<br><br><b>Буде плюсом:</b><br>- Знання AWS;<br>- Досвід роботи з noSQL.<br>- Розмовна Англійська.<br><br><b>Ми пропонуємо:</b><br>- П'ятиденка, 8 годинний робочий день;<br>- Відпустка 2+ тижні від Вашого середньорічного результату роботи;<br>- Гнучкий графік, будь-який день можна зробити днем відпочинку (вирішили питання лікарняних і на ""свій рахунок"") або ще однією відпусткою :)<br>- Гідна заробітна плата, яка розраховується відповідно до ваших результатів відповідно до ваших знань та досвіду;<br>- Індексація заробітної плати відповідно до результатів роботи, оплачувані овертайми."
AutoDS,Senior Python Developer,https://djinni.co/jobs/618884-senior-python-developer/,Україна,3,"Product, Тільки віддалено, 3 роки досвіду, Intermediate",17:32 02.01.2024,63,14,"We are looking for a Senior Python developer for remote work in our worldwide team. We need someone who wants to take part in something big and assume responsibility for the success of a new and innovative e-commerce project.<br><br>The right candidate will be someone with an open mind who loves to solve problems and who strives to take their projects to the next level.<br>						<br>Job Type: Remote, full-time<br><br>- You will be working on the company's key product:<br>Maintain and extend Flask back-end service<br>Implement internal and external API integrations<br>Promote the best coding practices and standards, design best-in-class solutions<br>							<br>- Main hard skills requirements for candidates:<br>Strong background with Python 4+ years.<br>Experience creating API with Flask and Flask Restplus.<br>Experience with the following frameworks: SQLAlchemy, Celery, Marshmallow, and Pydantic.<br>Strong background working with MySQL and MongoDB Databases.<br>Experience with Kubernetes and Docker.<br>Experience with FastAPI would be a plus.<br>Experience with Clean Architecture would be a plus.<br>	<br>- Main soft skills requirements for candidates:<br>Strong desire and a proactive attitude to work.<br>English & Russian - at least Intermediate level.<br>Strong problem-solving abilities.<br>Flexibility and team player.<br><br>About us						<br>AutoDS is an all-in-one dropshipping automation solution that saves dropshippers time on their everyday eCommerce tasks. We help our members automate everything from finding products to sell and monitoring their price, all the way to fulfilling orders.<br><br>We are a global company with team members all over the world. We live on collaboration tools like Slack and Zoom, but we love to chat and organize meet-ups as often as possible. ‘Community’ is one of our core values, and it is just as important as our technical values like eCommerce automation. <br><br>This is a great opportunity to work with talented teammates from across the globe.<br><br>We are proud of our online communities, like our YouTube channel with over 25k subscribers who are hungry to learn about dropshipping. When you join us, you will play an active part in growing and nurturing these communities.<br>								<br>No matter your role at AutoDS, you will help to grow the company and your voice will be heard."
ElifTech,Middle Python Developer,https://djinni.co/jobs/618871-middle-python-developer/,Україна,3,"Тільки віддалено, 3 роки досвіду, Upper-Intermediate",17:18 02.01.2024,134,30,"Middle Python Developer for Night Support (Long-term)<br><br>We are seeking three Middle Python Developers for night support on a long-term basis, willing to work in shifts.<br><br><b>Important Information:</b><br><br>-The working hours cover the period from 7:00 PM to 9:00 AM Ukrainian time. Candidates who can accommodate the following schedule are preferred:<br>-Every third day from 7:00 PM to 9:00 AM, resulting in 10-11 working shifts per month with flexible days off.<br>-There will be a team of three individuals on this support shift, allowing for mutual exchanges with prior approval from the manager.<br>-Incidents are rare (approximately 1-2 per month), but a quick response (within 30 minutes) and resolution are required.<br><br><b>Candidate Consideration:</b><br><br>Candidates from Ukraine and abroad are welcome. For example, candidates from EST (countries in South America, such as Ecuador) or the USA can apply. This allows candidates to work partially during their daytime and evening-night hours (from 6 PM CET to 8 AM CET, corresponding to 12 PM to 2 AM EST).<br><br><b>Tech Stack:</b><br>Python, Django, Falcon, Docker.<br><br><br><b>English: Upper-Intermediate.</b><br><b>Experience:</b><br>Minimum of 3 years.<br><br><b>Project Overview:</b><br><br>-Collaboration with the public sector in Sweden.<br>-Development of an application for managing household energy consumption.<br>-Users can track their energy consumption, and product gamification encourages clients to reduce energy consumption.<br>-The product utilizes machine learning algorithms to monitor and analyze household energy behavior.<br>-The client has a team of 12 engineers working on the core product during the day, so our role is specifically to provide support."
Meduzzen,Senior BE Python Developer,https://djinni.co/jobs/612233-senior-be-python-developer/,Україна,5,"Тільки віддалено, 5 років досвіду, Upper-Intermediate",15:38 02.01.2024,46,9,"We are looking for a Senior BE Python Developer.<br><br>The project is about collecting and processing data for sports games, to provide data as a service or to predict winners.<br>It's not a casino or gambling site, it's a data-collecting and processing platform, for sport game winners' prediction.<br><br>We are an outstaff company, working with a client for a long-time, he is looking for a smart and fast developer.<br><br>Tech stack: Python, FastApi, Prometheus, Graphana, Websockets, MySQL.<br><br>Importantly:<br>- Work experience of 6 years with Python;<br>- English B1-C1."
gart.tech,Python Developer (Senior),https://djinni.co/jobs/618822-python-developer-senior-/,Україна,3,"Тільки віддалено, 3 роки досвіду, Intermediate",15:38 02.01.2024,85,16,"<b>About Us:</b><br>Gart Technology is a rapidly growing software development and engineering company that specializes in delivering high-quality projects for clients across various industries. We are currently seeking an experienced and motivated individual to join our team in the role of Python Developer.<br><br><b>Position Overview:</b><br>As a Senior Python Developer at Gart Tech, you will play a pivotal role in architecting, designing, and implementing high-performance, scalable applications. You will collaborate with cross-functional teams, mentor junior developers, and contribute to the overall success of our projects. <br><br><b>Qualifications:</b><br>— 3+ years of software development experience with Python as BackEnd;<br>—  Analytical skills and ability to turn a concept into a working solution.<br>—  Proven knowledge of AI and ML algorithms, tools, and frameworks (e.g., TensorFlow, PyTorch).<br>—  Experience in developing and managing microservices.<br>—  Knowledge about message queues, and CI/CD or MLOps.<br>— Strong communication skills & prior experience leading a team (for Lead-level applicants).<br>—  Experience in AI, ML, IoT, engineering area will be a nice advantage.<br><br><b>Responsibilities:</b><br><br>— Design, develop, test, and deploy robust and scalable Python applications.<br>— Collaborate with cross-functional teams to define and implement innovative solutions.<br>— Mentor and guide junior developers, fostering a culture of continuous learning and improvement.<br>— Participate in code reviews to ensure code quality, performance, and adherence to coding standards.<br>— Investigate and resolve complex technical issues as they arise, ensuring timely delivery of solutions.<br>— Stay up-to-date with industry trends and incorporate best practices into daily work.<br><br><b>How to Apply:</b><br>If you meet the requirements and are enthusiastic about this opportunity, please submit your resume and a cover letter outlining your relevant experience."
Adaptiq,"Python Engineer (Poland, Romania)",https://djinni.co/jobs/618816-python-engineer-poland-romania-/,"Польща,    Румунія",5,"Product, Тільки віддалено, 5 років досвіду, Upper-Intermediate",15:26 02.01.2024,13,3,"We are a pioneer in the field of Enhanced Sensory AI, and are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.<br><br>Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.<br><br>We proudly serve a diverse clients' portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.<br><br>We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.<br><br>Your responsibilities<br>Serve as a technical domain expert on backend development.<br>Establish design principles with the broader development team.<br>Hands-on web development of production-ready applications at scale.<br>Design and implement efficient and well-engineered solutions.<br>Work closely with data science, product, QA and infrastructure teams.<br><br>Skills<br>Back-end: Python, Django with celery<br>AWS experience<br>Data: Basic SQL and NoSQ-mongodbL, AWS S3<br>Experience<br><br>5+ years in backend development<br>5+ years in Python, Django with celery<br>Extensive AWS experience, including serverless architectures<br>Experience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)<br>Experience with SQL and NoSQ-mongodbL<br>Nice to have: Experience in Machine Learning/Deep Learning<br><br>Education<br>Bachelor’s or Master's in Computer Science, Software Engineering or a related field"
Data Pro,Python Developer,https://djinni.co/jobs/67736-data-scientist/,Україна,3,"Product, Тільки віддалено, 3 роки досвіду, Upper-Intermediate",14:20 02.01.2024,74,10,"We are seeking an experienced Backend Developer with a strong focus on Python and DevOps skills: Kubernetes and Docker. <br><br>You’ll be responsible for building robust backend systems and contributing to end-to-end development and deployment.<br><br><br><b>Basic Qualifications</b><br>Bachelor’s or Master’s in Computer Science or related field.<br>Strong proficiency in backend development, particularly in Python. Solid understanding of CI/CD pipelines. Experience with Kubernetes and Docker is a must.<br><br><b>Responsibilities</b><br>Design, implement, and maintain scalable backend services.<br>Work closely with cross-functional teams.<br>Assist in deployment and occasional performance tuning using Rust."
Aspire Technology,"Python Developers (Permanent/ requires relocation to Dubai, UAE)",https://djinni.co/jobs/556815-python-developers-permanent-requires-relocati/,"Релокейт,    Обʼєднані Арабські Емірати",5,"Product, Тільки офіс, 5 років досвіду",13:39 02.01.2024,112,18,"Looking for an experienced Python developer who will be focused on the development of the server-side logic of a web application, ensuring its high performance, maintainability and quality.<br><br>KEY RESPONSIBILITIES<br><br>Functional (Process/ Technical /Operational)<br>- Design, build and maintain back-end services and API<br>- Write high quality Python code backed by unit and functional tests<br>- Identify bottlenecks and bugs, and provide solutions to these problems<br>- Integrate third-party services and tools<br>- Review code and mentor other developers<br><br><br>JOB REQUIREMENTS<br><br>Qualifications / Technical Skills<br>- System design skills<br>- Strong proficiency in writing Python code<br>- Experience with modern asynchronous web frameworks<br>- Familiarity with service-oriented architecture<br>- Understanding of the concurrency model in Python<br>- Experience with graph databases is a plus"
Samsung R&D Institute Ukraine,ML/CV Engineer,https://djinni.co/jobs/618760-ml-cv-engineer/,"Релокейт,    Україна",3,"Product, Гібридна робота, 3 роки досвіду, Intermediate",13:12 02.01.2024,26,2,"Samsung R&D Institute Ukraine is looking for a passionate and collaborative ML/CV Engineer to join our team in Kyiv.<br><br><b>Key responsbilities:</b><br><br>•    Design, implement, evaluate and improve ML/DL models, software prototypes for computer vision enabled products <br> <br><b>Requirements:</b><br><br>•    3+ years of commercial experience for solving computer vision problems by machine/deep learning and conventional algorithms <br>•    Strong mathematics background, good understanding of classical and deep learning algorithms <br>•    Solid software engineering skills for prototyping, including deployment and optimization of ML/DL models <br>•    Programming languages: Python, C++ <br>•    Masters degree in computer science, math, statistics or physics with strong math background <br> <br><b>Desirable skills / expertise:</b><br><br>•    Experience in generative AI<br>•    Awareness of Web development<br>•    Participation in ML/DL contests (e.g. kaggle)<br>•    PhD in the mentioned scientific areas<br><br><b>Working Conditions:</b><br><br>•   official employment, as per Ukrainian labor law (regular employee) or GIG contract<br>• remote work is possible as well as work in Kyiv office<br><br><b>Benefits:</b><br><br>• competitive salary, annual salary review, annual bonuses<br>• paid 28 work days of annual vacations and sick leaves<br>• opportunity to become an inventor of international patents with<br>paid bonuses<br>• medical & life insurance for employees and their children<br>• paid lunches<br>• discounts to Samsung products, gym, restaurants, services<br>• English language courses<br>• regular education and self-development on internal courses and seminars<br>• hybrid work format"
Adaptiq,Backend Python Engineer,https://djinni.co/jobs/605125-backend-python-engineer/,Польща,5,"Product, Тільки віддалено, 5 років досвіду, Upper-Intermediate",12:48 02.01.2024,32,2,"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.<br><br>Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.<br><br>We proudly serve a diverse client’s portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.<br><br>We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.<br><br><b>Responsibilities:</b><br>Serve as a technical domain expert on backend development.<br>Establish design principles with the broader development team.<br>Hands-on web development of production-ready applications at scale.<br>Design and implement efficient and well-engineered solutions.<br>Work closely with data science, product, QA and infrastructure teams<br><br><b>Skills</b><br>Back-end: Python, Django with celery. <br>AWS experience<br>Data: Basic SQL and NoSQL-MongoDB, AWS S3<br><br><b>Experience:</b><br>5+ years in backend development<br>5+ years in Python, Django with celery. <br>Extensive AWS experience, including serverless architectures<br>Experience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)<br>Experience with SQL and NoSQ-mongodbL.<br>Nice to have: Experience in Machine Learning/Deep Learning<br><br><b>Education</b><br>Bachelor’s or Master's in Computer Science, Software Engineering or a related field"
Numerical Technologies,Senior Python Developer,https://djinni.co/jobs/519556-senior-python-developer/,"Польща,    Португалія,    Україна",5,"Product, Office або Remote, 5 років досвіду, Upper-Intermediate",11:02 02.01.2024,23,9,"Numerical Technologies is a leading provider of custom software solutions and services specializing in risk, limits, and regulatory capital.<br>Right now, we are looking for a Python Developer to join our team.<br><br><b>What will you be doing?</b><br>You will be joining an international team of experienced developers dedicated to providing best-in-class development and cloud management services to our clients, stakeholders, and partners. <br><br>You will help us develop new software features, support and maintain the existing ones. You will be writing scalable and fault-tolerant code, debugging programs, and integrating applications with third-party web services. You will provide hands-on expertise to increase the availability, reliability, and efficiency of our products. You will work closely with the client and product manager to understand the system’s functional and non-functional requirements, and contribute to code quality through unit testing, integration testing, code review, and system design using Python to build robust software that aligns with the client’s business needs.<br><br><b>What are we looking for?</b><br>◼️ A strong programming background with Python and OO programming skills<br>◼️ Hands-on experience in backend development using FastApi for frontend components <br>◼️ Experience of the Agile project management methodology<br>◼️ Good knowledge of Git, Jira, and Confluence<br>◼️ Demonstrated problem solving skills to provide production support of software<br>◼️ Strong communication skills and experience in dealing with both technical and non-technical stakeholders.<br><br><b>What additional skills will help you stand out?</b><br>◼️ Hands-on experience in developing backend, microservices, RESTful API using Python<br>◼️ Experience working at a financial institution<br>◼️ Experience working with cloud platforms (AWS, Azure).<br><br><b>We offer:</b><br>◼️ Competitive compensation depending on experience and skills<br>◼️ Regular assessments and salary reviews<br>◼️ Compensation for sick lists and regular vacations<br>◼️ Health insurance<br>◼️ English classes with native speaker (certified English teachers)<br>◼️ Flexible working schedule<br>◼️ Friendly team and enjoyable working environment."
Elementica,Fullstack Python/React Developer,https://djinni.co/jobs/515841-fullstack-python-react-developer/,"Релокейт,    Польща,    Україна",3,"Гібридна робота, 3 роки досвіду, Intermediate",21:59 29.12.2023,83,4,"Build the most meaningful apps on the latest web technologies!<br><br><b>ABOUT ELEMENTICA</b><br><br>Welcome to Elementica! We are excited to see you on our profile. Elementica is a leading global software development company – expert in delivering web development, mobile application development and IT consulting services of any complexity to clients worldwide.<br>www.elementica.io<br><br><b>JOB POSITION</b><br><br>We are looking for a talented Fullstack Python/React Developer to join our Development Team. You will be at the core of our talented Web Apps teams and focus on building the most advanced and meaningful apps and workflows on the latest web technologies. <br><br><b>RESPONSIBILITIES AND DUTIES</b><br><br>As a fullstack developer, you will work on our next generation applications, a specific project critical to our customer’s needs. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new challenges as we continue to push technology forward.<br>We are Product oriented developers with a growth mindset. We are curious problem solvers and we like to collaborate, communicate, share knowledge and technical ideas and grow together.<br><br><b>What you’ll do:</b><br><br>- Develop cloud based frontend and backend web applications<br>- Work in all phases of the software development life-cycle (planning, design, implementation, deployment, monitoring and support)<br>- Collaborate and grow in a dynamic environment while working in small, agile and cross functional teams<br>- Use the latest technologies to solve real problems for our customers<br>- Communicate and coordinate with our engineering team in Ukraine.<br><br><b>What we look for in you:</b><br><br>- Results-orientation, collaborative, pragmatic and agile mindset<br>- Strong knowledge in working with Javascript, Typescript and Python<br>- Expertise with the cloud (preferably AWS or GCP)<br>- Working proficiency in English (written and verbal)<br>- Continuous independent learning<br><br><b>We are looking for these skills/experience:</b><br><br>* Strong knowledge of one or more Python frameworks (Django, Flask, FastAPI)<br>* Familiarity with some ORM (Object Relational Mapper) libraries<br>* Strong knowledge of relational (PostgreSQL) and non-relational (MongoDB) databases<br>* Experience with React hooks, CSS-in-JS, Redux, Jest<br>* Understanding of SSR with Next.js<br>* Understanding of common development principles and best practices (SOLID, DRY, YAGNI) and basic understanding of design patterns<br>* Experience working with Docker and Docker Compose<br>* Experience in CI/CD processes is a plus<br>* Experience with web performance optimizations<br><br><b>What we offer:</b><br><br>* The opportunity to drive the development of cutting-edge software products<br>* The chance to work on interesting technical challenges such as advanced algorithms, wide integrations or scalable content management<br>* A positive, highly skilled, young team with a focus on quality<br>* Hybrid/remote working possibility / Home-office friendly / Flexible working hours<br>* Pick your own gear: Linux or IOS - whatever works best for you<br>* A lot of room for your own ideas. We always highly encourage you to work on them together with the team.<br>* Outstanding compensation based on experience and 20 days vacation<br>* Sponsored training opportunities with Udemy and English classes<br><br>Our job offer Full Stack Python/React Developer sounds interesting? Then we are looking forward to receiving your application!"
QIT Software,Software Engineer (Python/Golang),https://djinni.co/jobs/618658-software-engineer-python-golang-/,Україна,3,"Тільки віддалено, 3 роки досвіду, Upper-Intermediate",21:20 29.12.2023,273,51,"QIT Software is looking for a Software Engineer to the product from the US. We are building a no / low code SaaS platform to create AI apps and bots that are easy to create, manage and share from with in the UI. The platform will make recommendations on cost optimizations, help audit and trace the AI bots/app’s interaction with its users.<br><br>Details:<br>- Schedule: Full-time, remote<br>- Client: USA<br>- Project: no / low code SaaS platform to create AI apps<br>- Stack: Golang, Python, NLP, RAG, IndexLlama, Semantic Search and Langchain, Pinecone, etc.<br>- Duration: long-term<br>- Team: 3-4 tech people (be and fe)<br>- Tools: Loom, Slack, Jira, etc.<br>- Methodology: Agile<br><br>Hiring process: 1 - Pre-screen (up to 30 mins), 2 - Home assignment, 3 - Tech interview, 4 - Interview with CEO<br><br><br>*4+ years of experience in software development<br>*Experience in Golang, Python, NLP, RAG, IndexLlama, Semantic Search and Langchain, Pinecone is a MUST*<br><br>Requirements:<br>*Experience in Vector DBs<br>*Hands-on experience using Python frameworks such as Flask building *REST APIs that run in production environments;<br>*Hands-on experience using Golang frameworks such as Gokit<br>*Experience with common databases, such as PostgreSQL & MongoDB;<br>*Experience in container technologies like Docker, Kubernetes (K8s)<br>*Experience working with cloud platforms: AWS, GCP, etc<br>*English communication skills<br><br>Responsibilities:<br><br>Among the technical challenges we are facing is the implementation of our own cloud infrastructure to serve our self learning engine as a scalable low code / no code solution. We are looking for an experienced backend developer (AI/ML) to support us in building scalable Generative AI DB cloud solutions powering the underpinnings of AI dev tooling. You would be responsible for developing and maintaining our cloud service architecture, Vector DB search capabilities, and building integration solutions.<br><br>Will be a plus: <br><br>*Experience in Rust is a plus.<br><br>The ideal candidate for this position would also have:<br>*Following IaC best practices with Terraform, Helm<br>*Deployment and Continuous Integration Strategies<br>*Interest in open-source projects and Machine Learning/ A"
Flai,Data Scrap Specialist (Python),https://djinni.co/jobs/618649-data-scrap-specialist-python-/,Україна,0,"Product, Тільки віддалено, Без досвіду, Pre-Intermediate",19:22 29.12.2023,704,236,"Looking for a Data Scrap specialist to join the our team. If you love music, TikTok, Instagram, Spotify and all around that - you have found the right place to send your CV.<br><br><br>Skills requirements:<br>• Python Experience<br>• Expertise in web scraping and HTML parsing: Proven ability to navigate and extract data from web sources.<br>• Familiarity with GitLab and git commands: Comfortable using version control systems for collaborative development.<br>• Experience with SQL, including experience with large datasets;<br>• Problem-solving skills: Proven track record of identifying issues, troubleshooting effectively, and proposing sustainable solutions.<br>• Team player mindset: Willingness to collaborate within a team, share knowledge, and continuously learn from colleagues.<br><br><br><br>Nice to have:<br>• Good self-management and time management skills<br>• Willingness to learn new things<br><br><br>We offer:<br>• Building interesting project from scratch using new technologies;<br>• Personal and professional development opportunities;<br>• Competitive salary nominated in USD;<br>• Paid vacation and sick leaves, medical insurance;<br>• Flexible work schedule;<br>• Friendly working environment with minimal hierarchy;<br><br><br>About<br>Flai - helps musicians growth their audience and popularity.<br>Our focus is on real-world problems and real-world solutions.<br>About Flai<br>A comprehensive solution for the music industry<br><br>Our service solves the most difficult tasks of music labels, managers of artists, performers, beatmakers (composers/songwriters), musicians and talent hunting."
